"NAME","FULLNAME","POPULATION2010","NRLANGUAGES2010","COLOR","tooltip","POPULATION2011"
"COD","Congo (Democratic Republic of the)",191.4532315,0,"#0050ff","Congo (Democratic Republic of the)
Exports: 191.4532315",117.586133091857
"BFA","Burkina Faso",163.715235,0,"#0050ff","Burkina Faso
Exports: 163.715235",100.550099160246
"GMB","Gambia",149.5104676,0,"#0050ff","Gambia
Exports: 149.5104676",91.8258605723211
"IRQ","Iraq",147.6651993,0,"#0050ff","Iraq
Exports: 147.6651993",90.6925395924974
"TLS","Timor Leste",124.5369291,,"#888888","Timor Leste
Exports: 124.5369291",76.4876926091671
"PYF","French Polynesia",109.2912775,0,"#0050ff","French Polynesia
Exports: 109.2912775",67.1241670940092
"COM","Comoros",96.72194927,0,"#0050ff","Comoros
Exports: 96.72194927",59.4043773022761
"NER","Niger",86.87109277,0,"#0050ff","Niger
Exports: 86.87109277",53.3542097788422
"SUR","Surinam",72.62495139,0,"#0050ff","Surinam
Exports: 72.62495139",44.6045602522732
"FJI","Fiji",49.03603012,0,"#0050ff","Fiji
Exports: 49.03603012",30.1167920688067
"CAF","Central Afr. Rep.",27.09057541,0,"#0050ff","Central Afr. Rep.
Exports: 27.09057541",16.6384029182356
"TCD","Chad",17.79098787,0,"#0050ff","Chad
Exports: 17.79098787",10.92681200065
"MWI","Malawi",13.83159255,0,"#0050ff","Malawi
Exports: 13.83159255",8.4950432526736
"TTO","Trinidad and Tobago",7.130413062,3.00654e-10,"#0050ff","Trinidad and Tobago
Exports: 7.130413062",4.37933427782463
"ABW","Aruba",0,0,"#0050ff","Aruba
Exports: 0",0
"AIA","Anguilla",0,0,"#0050ff","Anguilla
Exports: 0",0
"AND","Andorra",0,0,"#0050ff","Andorra
Exports: 0",0
"ANT","Netherlands Antilles",0,0,"#0050ff","Netherlands Antilles
Exports: 0",0
"ARM","Armenia",0,0,"#0050ff","Armenia
Exports: 0",0
"ASM","American Samoa",0,0,"#0050ff","American Samoa
Exports: 0",0
"ATG","Antigua",0,0,"#0050ff","Antigua
Exports: 0",0
"BDI","Burundi",0,0,"#0050ff","Burundi
Exports: 0",0
"BEN","Benin",0,0,"#0050ff","Benin
Exports: 0",0
"BLZ","Belize",0,0,"#0050ff","Belize
Exports: 0",0
"BMU","Bermuda",0,0,"#0050ff","Bermuda
Exports: 0",0
"BOL","Bolivia",0,0,"#0050ff","Bolivia
Exports: 0",0
"BRN","Brunei",0,0,"#0050ff","Brunei
Exports: 0",0
"BTN","Bhutan",0,0,"#0050ff","Bhutan
Exports: 0",0
"COG","Rep of Congo",0,0,"#0050ff","Rep of Congo
Exports: 0",0
"COK","Cook Isds",0,0,"#0050ff","Cook Isds
Exports: 0",0
"COL","Colombia",0,0,"#0050ff","Colombia
Exports: 0",0
"CUW","Cura‡ao",0,0,"#0050ff","Cura‡ao
Exports: 0",0
"CYM","Cayman Islands",0,0,"#0050ff","Cayman Islands
Exports: 0",0
"DJI","Djibouti",0,0,"#0050ff","Djibouti
Exports: 0",0
"DOM","Dominican Republic",0,0,"#0050ff","Dominican Republic
Exports: 0",0
"ECU","Ecuador",0,0,"#0050ff","Ecuador
Exports: 0",0
"ERI","Eritrea",0,0,"#0050ff","Eritrea
Exports: 0",0
"ESH","Western Sahara",0,0,"#0050ff","Western Sahara
Exports: 0",0
"FSM","Fed. States of Micronesia",0,0,"#0050ff","Fed. States of Micronesia
Exports: 0",0
"GAB","Gabon",0,0,"#0050ff","Gabon
Exports: 0",0
"GLP","Guadeloupe",0,0,"#0050ff","Guadeloupe
Exports: 0",0
"GNQ","Equatorial Guinea",0,0,"#0050ff","Equatorial Guinea
Exports: 0",0
"GRD","Grenada",0,0,"#0050ff","Grenada
Exports: 0",0
"GUF","French Guiana",0,0,"#0050ff","French Guiana
Exports: 0",0
"HND","Honduras",0,0,"#0050ff","Honduras
Exports: 0",0
"HTI","Haiti",0,0,"#0050ff","Haiti
Exports: 0",0
